Date,Average,Median
1963-01-01,19300.0,17800.0
1963-04-01,19400.0,18000.0
1963-07-01,19200.0,17900.0
1963-10-01,19600.0,18500.0
1964-01-01,19600.0,18500.0
1964-04-01,20200.0,18900.0
1964-07-01,20500.0,18900.0
1964-10-01,20900.0,19400.0
1965-01-01,21500.0,20200.0
1965-04-01,21000.0,19800.0
1965-07-01,21600.0,20200.0
1965-10-01,21700.0,20300.0
1966-01-01,22700.0,21000.0
1966-04-01,23200.0,22100.0
1966-07-01,23000.0,21500.0
1966-10-01,22800.0,21400.0
1967-01-01,24000.0,22300.0
1967-04-01,24200.0,23300.0
1967-07-01,23900.0,22500.0
1967-10-01,24400.0,22900.0
1968-01-01,25400.0,23900.0
1968-04-01,26700.0,24900.0
1968-07-01,26600.0,24800.0
1968-10-01,27000.0,25600.0
1969-01-01,27600.0,25700.0
1969-04-01,28100.0,25900.0
1969-07-01,28100.0,25900.0
1969-10-01,27100.0,24900.0
1970-01-01,27000.0,23900.0
1970-04-01,27300.0,24400.0
1970-07-01,26000.0,23000.0
1970-10-01,26300.0,22600.0
1971-01-01,27300.0,24300.0
1971-04-01,28600.0,25800.0
1971-07-01,28300.0,25300.0
1971-10-01,28200.0,25500.0
1972-01-01,29000.0,26200.0
1972-04-01,29400.0,26800.0
1972-07-01,30300.0,27900.0
1972-10-01,31600.0,29200.0
1973-01-01,32800.0,30200.0
1973-04-01,35100.0,32700.0
1973-07-01,35900.0,33500.0
1973-10-01,36600.0,34000.0
1974-01-01,38000.0,35200.0
1974-04-01,38600.0,35600.0
1974-07-01,39000.0,36200.0
1974-10-01,39300.0,37200.0
1975-01-01,40900.0,38100.0
1975-04-01,42600.0,39000.0
1975-07-01,42200.0,38800.0
1975-10-01,44400.0,41200.0
1976-01-01,46000.0,42800.0
1976-04-01,47800.0,44200.0
1976-07-01,48100.0,44400.0
1976-10-01,50300.0,45500.0
1977-01-01,51600.0,46300.0
1977-04-01,54300.0,48900.0
1977-07-01,54000.0,48800.0
1977-10-01,57500.0,51600.0
1978-01-01,59300.0,53000.0
1978-04-01,61600.0,55300.0
1978-07-01,63500.0,56100.0
1978-10-01,66400.0,59000.0
1979-01-01,68300.0,60600.0
1979-04-01,72400.0,63100.0
1979-07-01,74200.0,64700.0
1979-10-01,72700.0,62600.0
1980-01-01,73600.0,63700.0
1980-04-01,74400.0,64000.0
1980-07-01,77500.0,64900.0
1980-10-01,80000.0,66400.0
1981-01-01,80900.0,66800.0
1981-04-01,84300.0,69400.0
1981-07-01,83800.0,69200.0
1981-10-01,83700.0,70400.0
1982-01-01,81200.0,66400.0
1982-04-01,85700.0,69600.0
1982-07-01,83900.0,69300.0
1982-10-01,84600.0,71600.0
